rank_2013,rank_2012,institution,country,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,overall
1,1,Massachusetts Institute of Technology (MIT),United States,100,100,100,99.7,97.6,96.3,100
2,3,Harvard University,United States,100,100,99.3,100,94.1,85.3,99.2
3,2,University of Cambridge,United Kingdom,100,100,99.6,95.8,95.5,96,99
4,4,UCL (University College London),United Kingdom,99.9,98.7,98.9,95.6,96.5,100,98.9
5,6,Imperial College London,United Kingdom,99.9,100,99.8,92.5,99.9,99.9,98.8
6,5,University of Oxford,United Kingdom,100,100,100,93.1,97.7,96.7,98.7
7,15,Stanford University,United States,100,100,94.4,100,75.6,76,96.8
8,7,Yale University,United States,100,100,100,88.8,94.4,72.7,96.5
9,8,University of Chicago,United States,99.9,94.3,96.2,97.8,78.8,74.9,96.2
10,10,California Institute of Technology (Caltech),United States,99.6,69.2,100,100,92.2,87.7,96.1
10,9,Princeton University,United States,100,95.1,96.3,98.8,76.3,68.8,96.1
12,13,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,99.9,97.9,76.5,94.9,100,98.4,94.3
13,12,University of Pennsylvania,United States,98.4,93.8,99.9,92.7,55,69.8,93.8
14,11,Columbia University,United States,100,100,95.9,96.8,16.2,78.8,93.6
15,14,Cornell University,United States,99.8,97.8,75.1,99.2,87.8,64.6,92.5
16,16,Johns Hopkins University,United States,96,64.1,100,97.8,78.9,69.7,92.1
17,21,University of Edinburgh,United Kingdom,99.7,98.3,75.1,84.5,89.8,97.3,91.3
17,19,University of Toronto,Canada,99.9,95.9,78.8,82.2,97.7,86.8,91.3
19,29,Ecole Polytechnique de Lausanne,Switzerland,87.9,88.3,94.5,88.2,100,100,90.9
19,26,King's College London (KCL),United Kingdom,94.6,93.7,89.9,79.3,93.9,96.6,90.9
21,18,McGill University,Canada,99.1,95.7,90.2,72.2,81.1,90.2,90.6
22,17,University of Michigan,United States,99.8,95,92.7,88.7,44,45.9,90.5
23,20,Duke University,United States,96.2,85.8,99.9,98.4,16.4,44.4,90.1
24,25,National University of Singapore (NUS),Singapore,100,99.9,89.1,57.3,100,96.6,89.4
25,22,"University of California, Berkeley (UCB)",United States,100,100,52.1,98.9,93.9,74.7,89
26,23,University of Hong Kong,Hong Kong,99.4,93.1,94.7,51.7,100,98.7,88.6
27,24,Australian National University,Australia,99.7,92.4,83.4,63.2,99.9,94.1,88.5
28,34,"Ecole normale, Paris",France,89.7,77.4,97.1,94.3,58.7,52.1,87.8
29,27,Northwestern University,United States,92.9,90.7,87.2,99.5,12,55.4,87.3
30,28,University of Bristol,United Kingdom,92.2,98.3,78.6,78.1,83.7,81,86.6
31,36,The University of Melbourne,Australia,99.8,100,50.1,84,81.5,96.6,86
32,30,The University of Tokyo,Japan,100,99.3,91.4,76.3,11.1,27.3,85.7
33,32,The University of Manchester,United Kingdom,99.2,100,66.2,64.7,84.5,96,85.2
34,33,The Hong Kong University of Science and Technology,Hong Kong,93.3,90.6,86.5,52.6,100,98.6,84.4
35,35,Kyoto University,Japan,99.9,92.1,94.8,68.4,16.5,22.9,84.1
35,37,Seoul National University,"Korea, South",98.7,93.6,87,60.9,47.2,60.4,84.1
37,38,University of Wisconsin-Madison,United States,97.4,69.7,91.8,68.7,56.9,36,83
38,39,The University of Sydney,Australia,99.5,98,50.1,68.4,99.7,87.2,82.9
